id;placed_date;status;code;invoice_id
1;2019-07-19T01:34:58;CANCELLED;paradigms Home;34507
2;2019-07-18T04:40:11;PENDING;Way Dominican Republic;59269
3;2019-07-18T10:20:13;CANCELLED;Re-contextualized;80313
4;2019-07-18T17:38:28;PENDING;bypassing optical;15071
5;2019-07-18T18:46:10;COMPLETED;red firewall open-source;34866
6;2019-07-18T10:59:02;PENDING;disintermediate Cambridgeshire hacking;67569
7;2019-07-18T18:16:57;CANCELLED;Profound;17495
8;2019-07-18T06:51:17;CANCELLED;Agent;55829
9;2019-07-18T04:51:29;PENDING;programming SCSI drive;88777
10;2019-07-18T11:03:34;PENDING;Alabama transform;94013
